respondent_id	age_group	education	satisfaction	hours_per_week	stress_level	work_from_home
R001	25-34	Bachelors	4	45	3	Yes
R002	35-44	Masters	5	50	4	Yes
R003	18-24	Bachelors	3	40	2	No
R004	45-54	PhD	4	55	5	No
R005	25-34	Masters	5	42	3	Yes
R006	35-44	Bachelors	3	48	4	Yes
R007	55-64	Masters	4	50	3	No
R008	25-34	Bachelors	5	38	2	Yes
R009	45-54	PhD	3	60	5	No
R010	18-24	Bachelors	4	35	2	Yes
R011	35-44	Masters	5	47	3	Yes
R012	25-34	Bachelors	4	43	3	Yes
R013	45-54	Masters	3	52	4	No
R014	55-64	PhD	5	55	4	No
R015	25-34	Bachelors	4	41	2	Yes
R016	35-44	Masters	5	49	3	Yes
R017	18-24	Bachelors	3	37	2	No
R018	45-54	PhD	4	58	5	No
R019	25-34	Masters	5	44	3	Yes
R020	35-44	Bachelors	3	46	3	Yes
R021	55-64	Masters	4	51	4	No
R022	25-34	Bachelors	5	40	2	Yes
R023	45-54	PhD	3	62	5	No
R024	18-24	Bachelors	4	36	2	Yes
R025	35-44	Masters	5	48	3	Yes
